date,code,open,high,low,close,volume,amount,turnover_rate,pct_chg,isST
2024-01-31,600000,6.37559691,6.44113168,6.31006214,6.39432113,45661999,311141441.37,0.1556,0.0,0
2024-02-01,600000,6.39432113,6.44113168,6.34751058,6.3662348,44252421,302115559.82,0.1508,-0.4392,0
2024-02-02,600000,6.38495902,6.47858012,6.29133792,6.40368324,59482913,407459709.56,0.2027,0.5882,0
2024-02-05,600000,6.40368324,6.47858012,6.32878636,6.45049379,82713695,566786780.1,0.2818,0.731,0
2024-02-06,600000,6.45049379,6.553477,6.42240746,6.553477,71683218,498307470.73,0.2442,1.5965,0
2024-02-07,600000,6.57220122,6.58156333,6.41304535,6.49730434,83731296,580014440.67,0.2853,-0.8571,0
2024-02-08,600000,6.50666645,6.52539067,6.38495902,6.51602856,67164744,463209887.72,0.2288,0.2882,0
2024-02-19,600000,6.53475278,6.67518443,6.50666645,6.66582232,57869788,407648425.03,0.1972,2.2989,0
2024-02-20,600000,6.67518443,6.69390865,6.60964966,6.6470981,32408954,230505757.0,0.1104,-0.2809,0
2024-02-21,600000,6.65646021,6.85306452,6.63773599,6.77816764,58809554,426038720.01,0.2004,1.9718,0
2024-02-22,600000,6.77816764,6.80625397,6.72199498,6.75008131,33665209,242967428.02,0.1147,-0.4144,0
2024-02-23,600000,6.75008131,6.86242663,6.7407192,6.81561608,37939600,276331223.8,0.1293,0.9709,0
2024-02-26,600000,6.79689186,6.81561608,6.63773599,6.6470981,42483070,304097863.96,0.1447,-2.4725,0
2024-02-27,600000,6.61901177,6.69390865,6.60964966,6.68454654,24862246,176742731.7,0.0847,0.5634,0
2024-02-28,600000,6.66582232,6.70327076,6.62837388,6.6470981,35826714,255229185.7,0.1221,-0.5602,0
2024-02-29,600000,6.65646021,6.71263287,6.63773599,6.69390865,34288217,244498953.23,0.1168,0.7042,0
2024-03-01,600000,6.67518443,6.70327076,6.6470981,6.65646021,29431801,209474047.73,0.1003,-0.5594,0
2024-03-04,600000,6.66582232,6.66582232,6.60028755,6.61901177,27855963,197157049.95,0.0949,-0.5626,0
2024-03-05,600000,6.60028755,6.72199498,6.59092544,6.70327076,41756232,297676104.18,0.1423,1.273,0
2024-03-06,600000,6.71263287,6.75944342,6.66582232,6.66582232,25918749,185847810.33,0.0883,-0.5587,0
2024-03-07,600000,6.66582232,6.7407192,6.65646021,6.68454654,24690348,176664368.68,0.0841,0.2809,0
2024-03-08,600000,6.66582232,6.71263287,6.65646021,6.66582232,19861794,141724066.3,0.0677,-0.2801,0
2024-03-11,600000,6.67518443,6.71263287,6.60964966,6.65646021,26195498,185957986.47,0.0892,-0.1404,0
2024-03-12,600000,6.65646021,6.69390865,6.62837388,6.6470981,29030476,206425806.43,0.0989,-0.1406,0
2024-03-13,600000,6.66582232,6.66582232,6.58156333,6.59092544,25948461,183084895.29,0.0884,-0.8451,0
2024-03-14,600000,6.59092544,6.63773599,6.58156333,6.59092544,18703556,131973016.08,0.0637,0.0,0
2024-03-15,600000,6.59092544,6.63773599,6.58156333,6.63773599,29599544,208970012.26,0.1008,0.7102,0
2024-03-18,600000,6.60964966,6.67518443,6.60964966,6.63773599,26558472,188382260.48,0.0905,0.0,0
2024-03-19,600000,6.62837388,6.62837388,6.56283911,6.56283911,22848715,160809197.78,0.0778,-1.1283,0
2024-03-20,600000,6.56283911,6.60964966,6.53475278,6.58156333,19542993,137292231.62,0.0666,0.2853,0
2024-03-21,600000,6.60964966,6.67518443,6.58156333,6.6470981,41924870,297257990.39,0.1428,0.9957,0
2024-03-22,600000,6.62837388,6.66582232,6.51602856,6.59092544,35960453,252638801.75,0.1225,-0.8451,0
2024-03-25,600000,6.60964966,6.63773599,6.56283911,6.60964966,24439536,172644826.72,0.0833,0.2841,0
2024-03-26,600000,6.63773599,6.69390865,6.61901177,6.69390865,35111522,250044910.26,0.1196,1.2748,0
2024-03-27,600000,6.68454654,6.76880553,6.65646021,6.71263287,41943066,301380699.61,0.1429,0.2797,0
2024-03-28,600000,6.73135709,6.7407192,6.65646021,6.71263287,34535966,246970623.06,0.1177,0.0,0
2024-03-29,600000,6.67518443,6.73135709,6.65646021,6.67518443,18138885,129562450.79,0.0618,-0.5579,0
2024-04-01,600000,6.69390865,6.77816764,6.68454654,6.76880553,36028832,259657243.84,0.1227,1.4025,0
2024-04-02,600000,6.77816764,6.84370241,6.75944342,6.80625397,35095170,255236209.73,0.1196,0.5533,0
2024-04-03,600000,6.76880553,6.81561608,6.73135709,6.76880553,25254107,182860243.77,0.086,-0.5502,0
2024-04-08,600000,6.76880553,6.85306452,6.73135709,6.81561608,32764493,238582732.19,0.1116,0.6916,0
2024-04-09,600000,6.82497819,6.85306452,6.78752975,6.79689186,20335543,147972234.27,0.0693,-0.2747,0
2024-04-10,600000,6.79689186,6.86242663,6.76880553,6.80625397,22436726,163551937.26,0.0764,0.1377,0
