date,code,open,high,low,close,volume,amount,turnover_rate,pct_chg,isST
2023-07-04,000566,5.02,5.06,4.97,5.03,13492200,67690505.0,1.1577,0.6,0
2023-07-05,000566,5.02,5.06,4.97,5.01,14633633,73320434.06,1.2557,-0.3976,0
2023-07-06,000566,5.0,5.01,4.91,4.93,14803900,73217132.0,1.2703,-1.5968,0
2023-07-07,000566,4.92,4.95,4.88,4.92,7967135,39145531.84,0.6836,-0.2028,0
2023-07-10,000566,4.91,4.95,4.86,4.88,10027917,49018112.42,0.8605,-0.813,0
2023-07-11,000566,4.89,4.93,4.85,4.93,6554937,32076457.82,0.5625,1.0246,0
2023-07-12,000566,4.94,4.95,4.81,4.82,12543719,61027341.39,1.0764,-2.2312,0
2023-07-13,000566,4.84,4.86,4.82,4.86,7117805,34514425.22,0.6108,0.8299,0
2023-07-14,000566,4.86,4.86,4.81,4.82,7303529,35274583.09,0.6267,-0.823,0
2023-07-17,000566,4.85,4.9,4.77,4.9,10116104,48979191.28,0.868,1.6598,0
2023-07-18,000566,4.88,4.9,4.79,4.81,10373538,50110380.78,0.8901,-1.8367,0
2023-07-19,000566,4.8,4.83,4.74,4.78,7475436,35716471.16,0.6415,-0.6237,0
2023-07-20,000566,4.76,4.8,4.73,4.74,6024473,28703063.1,0.5169,-0.8368,0
2023-07-21,000566,4.74,4.81,4.72,4.8,9122900,43598351.36,0.7828,1.2658,0
2023-07-24,000566,4.81,4.85,4.79,4.82,7026300,33920435.0,0.6029,0.4167,0
2023-07-25,000566,4.84,4.86,4.8,4.85,8413202,40670475.66,0.7219,0.6224,0
2023-07-26,000566,4.88,4.88,4.83,4.85,6224302,30196835.72,0.5341,0.0,0
2023-07-27,000566,4.84,4.88,4.82,4.84,7097183,34450689.55,0.609,-0.2062,0
2023-07-28,000566,4.84,4.93,4.82,4.91,13839450,67641216.92,1.1875,1.4463,0
2023-07-31,000566,4.91,4.95,4.87,4.91,12277889,60361406.99,1.0535,0.0,0
2023-08-01,000566,4.91,4.94,4.85,4.86,11006257,53697538.21,0.9444,-1.0183,0
2023-08-02,000566,4.85,4.86,4.75,4.77,14970463,71787777.14,1.2846,-1.8519,0
