date,code,shares,cost_price,market_price,market_value
2024-05-23,600000,21900,7.877713545937978,7.97651772,174685.738068
2024-05-24,600000,21900,7.877713545937978,7.90162084,173045.496396
2024-05-27,600000,25200,7.9153155919002405,7.99524194,201480.096888
2024-05-28,600000,25200,7.9153155919002405,7.99524194,201480.096888
2024-05-29,600000,25200,7.9153155919002405,7.94843139,200300.471028
2024-06-04,600000,25800,7.756205493194122,7.78927552,200963.308416
2024-06-05,600000,25800,7.756205493194122,7.76118919,200238.681102
2024-06-06,600000,25800,7.756205493194122,7.72374075,199272.51135000002
2024-06-07,000001,21800,9.173285359183337,9.22730291,201155.20343800003
2024-06-11,000001,21800,9.173285359183337,9.12654983,198958.786294
2024-06-12,000001,21800,9.173285359183337,9.13494592,199141.821056
2024-06-14,000001,21900,9.135434602040196,9.15773458,200554.387302
2024-06-17,000001,21900,9.135434602040196,9.0857681,198978.32139
2024-06-18,000001,21900,9.135434602040196,9.06777648,198584.304912
2024-06-19,600000,26300,7.5875919268045315,7.69565442,202395.71124600002
2024-06-20,600000,26300,7.5875919268045315,7.6769302,201903.26426
2024-06-21,600000,26300,7.5875919268045315,7.64884387,201164.593781
2024-06-25,000001,22200,8.99156669987158,9.06777648,201304.637856
2024-06-26,000001,22200,8.99156669987158,9.06777648,201304.637856
2024-06-27,000001,22200,8.99156669987158,9.11275553,202303.17276599997
2024-06-28,000001,22000,9.090528704443008,9.13074715,200876.4373
