date,code,side,price,shares,amount,fee,reason
2025-07-18,000078,BUY,2.72272,36700,99923.824,29.977147199999994,signal
2025-07-18,000657,BUY,13.303289999999997,7500,99774.67499999997,29.932402499999988,signal
2025-07-18,000609,BUY,3.3333299999999997,30000,99999.9,29.999969999999994,signal
2025-07-21,000633,SELL,6.06393,16100,97629.273,126.9180549,hold_days
2025-07-21,000530,SELL,6.48351,15300,99197.703,128.9570139,hold_days
2025-07-21,000551,SELL,10.72926,9200,98709.192,128.32194959999998,hold_days
2025-07-21,000566,SELL,6.7759932240000005,16200,109771.0902288,142.70241729744,take_profit
2025-07-21,000530,BUY,6.49649,15300,99396.29699999999,29.818889099999996,signal
2025-07-21,000566,BUY,6.526519999999999,15300,99855.75599999998,29.95672679999999,signal
2025-07-21,000546,BUY,5.945939999999999,16800,99891.79199999999,29.967537599999993,signal
2025-07-21,000572,BUY,4.764759999999999,20900,99583.48399999998,29.87504519999999,signal
2025-07-22,000620,SELL,1.64835,60100,99065.83499999999,128.7855855,hold_days
2025-07-22,000426,SELL,18.46152,5500,101538.36,131.999868,hold_days
2025-07-22,000657,SELL,14.618985380999998,7500,109642.39035749999,142.53510746474998,take_profit
2025-07-22,000609,SELL,3.1634968364999994,30000,94904.90509499998,123.37637662349997,stop_loss
2025-07-22,000566,SELL,7.171992828,15300,109731.4902684,142.65093734892,take_profit
2025-07-22,000546,SELL,5.642994356999999,16800,94802.30519759998,123.24299675687998,stop_loss
2025-07-22,000566,BUY,6.8168099999999985,14600,99525.42599999998,29.857627799999992,signal
2025-07-22,000505,BUY,7.267259999999999,13700,99561.46199999998,29.868438599999994,signal
2025-07-22,000534,BUY,14.504489999999999,6800,98630.53199999999,29.589159599999995,signal
2025-07-22,000506,BUY,10.8108,9200,99459.36,29.837808,signal
2025-07-22,000633,BUY,6.176169999999999,16100,99436.33699999998,29.83090109999999,signal
2025-07-23,000572,SELL,4.521995477999999,20900,94509.70549019998,122.86261713725997,stop_loss
2025-07-23,000505,SELL,6.896993102999999,13700,94488.80551109998,122.83544716442998,stop_loss
2025-07-23,000572,BUY,4.75475,21000,99849.74999999999,29.954924999999992,signal
2025-07-23,000505,BUY,7.187179999999999,13900,99901.80199999998,29.970540599999993,signal
2025-07-23,000603,BUY,16.486469999999997,6000,98918.81999999998,29.67564599999999,signal
2025-07-24,000571,SELL,4.73526,20900,98966.93400000001,128.6570142,hold_days
2025-07-24,000572,SELL,4.512495487499999,21000,94762.40523749997,123.19112680874996,stop_loss
2025-07-24,000505,SELL,6.8209931789999985,13900,94811.80518809998,123.25534674452997,stop_loss
2025-07-24,000505,BUY,6.82682,14600,99671.572,29.901471599999997,signal
2025-07-24,000572,BUY,4.474469999999999,22300,99780.68099999998,29.93420429999999,signal
2025-07-24,000546,BUY,5.345339999999999,18700,99957.858,29.987357399999997,signal
2025-07-25,000078,SELL,2.75724,36700,101190.708,131.54792039999998,hold_days
2025-07-25,000523,BUY,3.3933899999999997,29400,99765.666,29.929699799999998,signal
2025-07-28,000530,SELL,6.61338,15300,101184.714,131.5401282,hold_days
2025-07-28,000506,SELL,10.25998974,9200,94391.905608,122.7094772904,stop_loss
2025-07-28,000603,SELL,15.646484353499996,6000,93878.90612099998,122.04257795729997,stop_loss
2025-07-28,000593,BUY,6.2762699999999985,15900,99792.69299999997,29.93780789999999,signal
2025-07-28,000571,BUY,4.744739999999999,21000,99639.53999999998,29.891861999999993,signal
2025-07-28,000411,BUY,11.201189999999999,8900,99690.59099999999,29.907177299999994,signal
