top_n,hold_days,min_score,take_profit,stop_loss,total_return,annual_return,max_drawdown,sharpe,trade_count,final_equity
10,5,0.45,,,0.06313679814209183,0.1409561132884496,-0.00862167273451886,3.1098688456131334,23.0,1063136.7981420918
10,5,0.45,,0.03,0.06313679814209183,0.1409561132884496,-0.00862167273451886,3.1098688456131334,23.0,1063136.7981420918
3,2,0.45,0.03,,0.07957833290756766,0.1793001233590923,-0.013182530324344022,3.1072069003325753,51.0,1079578.3329075677
3,2,0.45,0.03,0.03,0.07957833290756766,0.1793001233590923,-0.013182530324344022,3.1072069003325753,51.0,1079578.3329075677
5,2,0.45,0.03,,0.07957833290756766,0.1793001233590923,-0.013182530324344022,3.1072069003325753,51.0,1079578.3329075677
5,2,0.45,0.03,0.03,0.07957833290756766,0.1793001233590923,-0.013182530324344022,3.1072069003325753,51.0,1079578.3329075677
10,2,0.45,0.03,,0.07957833290756766,0.1793001233590923,-0.013182530324344022,3.1072069003325753,51.0,1079578.3329075677
10,2,0.45,0.03,0.03,0.07957833290756766,0.1793001233590923,-0.013182530324344022,3.1072069003325753,51.0,1079578.3329075677
3,2,0.45,0.03,0.02,0.07918788768080809,0.17838167581597641,-0.013182530324344022,3.083024738374089,51.0,1079187.887680808
5,2,0.45,0.03,0.02,0.07918788768080809,0.17838167581597641,-0.013182530324344022,3.083024738374089,51.0,1079187.887680808
10,2,0.45,0.03,0.02,0.07918788768080809,0.17838167581597641,-0.013182530324344022,3.083024738374089,51.0,1079187.887680808
3,3,0.45,0.05,,0.08986747909777848,0.20364159214168476,-0.010005619168298452,3.0773298419587434,37.0,1089867.4790977784
3,3,0.45,0.05,0.03,0.08986747909777848,0.20364159214168476,-0.010005619168298452,3.0773298419587434,37.0,1089867.4790977784
5,3,0.45,0.05,,0.08986747909777848,0.20364159214168476,-0.010005619168298452,3.0773298419587434,37.0,1089867.4790977784
5,3,0.45,0.05,0.03,0.08986747909777848,0.20364159214168476,-0.010005619168298452,3.0773298419587434,37.0,1089867.4790977784
10,3,0.45,0.05,,0.08986747909777848,0.20364159214168476,-0.010005619168298452,3.0773298419587434,37.0,1089867.4790977784
10,3,0.45,0.05,0.03,0.08986747909777848,0.20364159214168476,-0.010005619168298452,3.0773298419587434,37.0,1089867.4790977784
3,2,0.45,0.05,,0.08102545061067867,0.18270753394325534,-0.011450337928339938,3.0663429786888057,43.0,1081025.4506106786
3,2,0.45,0.05,0.03,0.08102545061067867,0.18270753394325534,-0.011450337928339938,3.0663429786888057,43.0,1081025.4506106786
