date,code,open,high,low,close,volume,amount,turnover_rate,pct_chg,isST
2024-03-15,000001,8.85787495,9.02579675,8.8158945,8.8998554,375020789,3973799130.9,1.9325,3.6168,0
2024-03-18,000001,8.86627104,8.90825149,8.80749841,8.84947886,167139651,1761249149.98,0.8613,-0.566,0
2024-03-19,000001,8.84108277,8.84947886,8.72353751,8.7319336,129321558,1351069630.23,0.6664,-1.3283,0
2024-03-20,000001,8.71514142,8.79070623,8.70674533,8.77391405,87266316,910278572.98,0.4497,0.4808,0
2024-03-21,000001,8.77391405,8.83268668,8.74872578,8.79070623,86446625,905422293.67,0.4455,0.1914,0
2024-03-22,000001,8.77391405,8.77391405,8.65636879,8.69834924,102814174,1065535606.11,0.5298,-1.0506,0
2024-03-25,000001,8.68995315,8.80749841,8.66476488,8.7319336,95320221,993304120.45,0.4912,0.3861,0
2024-03-26,000001,8.77391405,8.95023194,8.74872578,8.8998554,174002146,1835376190.72,0.8967,1.9231,0
2024-03-27,000001,8.86627104,8.92504367,8.82429059,8.84108277,127413599,1347397150.36,0.6566,-0.6604,0
2024-03-28,000001,8.82429059,8.87466713,8.71514142,8.80749841,130218892,1362980388.48,0.671,-0.3799,0
2024-03-29,000001,8.77391405,8.87466713,8.75712187,8.83268668,87275898,917332315.96,0.4497,0.286,0
2024-04-01,000001,8.83268668,8.94183585,8.82429059,8.93343976,119108796,1261770380.39,0.6138,1.1407,0
2024-04-02,000001,8.92504367,8.96702412,8.84108277,8.85787495,108545826,1149700799.95,0.5594,-0.8459,0
2024-04-03,000001,8.84108277,8.85787495,8.74872578,8.78231014,98184585,1028648883.43,0.506,-0.8531,0
2024-04-08,000001,8.74872578,8.80749841,8.70674533,8.75712187,90636052,945290441.32,0.4671,-0.2868,0
2024-04-09,000001,8.75712187,8.79070623,8.69834924,8.7319336,85715673,891468991.01,0.4417,-0.2876,0
2024-04-10,000001,8.71514142,8.74032969,8.62278443,8.63118052,124639082,1288696196.29,0.6423,-1.1538,0
2024-04-11,000001,8.59759616,8.63957661,8.49684308,8.60599225,101021340,1030820137.39,0.5206,-0.2918,0
2024-04-12,000001,8.58080398,8.62278443,8.42967436,8.44646654,130545371,1322011753.93,0.6727,-1.8537,0
2024-04-15,000001,8.45486263,8.66476488,8.44646654,8.63957661,145320260,1486326196.01,0.7489,2.2863,0
2024-04-16,000001,8.63118052,8.72353751,8.58080398,8.63118052,147803643,1523138499.07,0.7617,-0.0972,0
2024-04-17,000001,8.61438834,8.92504367,8.57240789,8.91664758,223264057,2337576586.88,1.1505,3.3074,0
2024-04-18,000001,8.88306322,9.26088727,8.86627104,9.0677772,316591426,3427338981.81,1.6314,1.6949,0
2024-04-19,000001,8.99221239,9.08456938,8.95023194,8.97542021,145767502,1562376146.58,0.7512,-1.0185,0
2024-04-22,000001,8.93343976,9.07617329,8.77391405,8.8158945,200981837,2125722741.41,1.0357,-1.7774,0
2024-04-23,000001,8.82429059,8.94183585,8.78231014,8.84947886,124002700,1308866093.13,0.639,0.381,0
2024-04-24,000001,8.83268668,8.87466713,8.78231014,8.84108277,94156774,989093538.21,0.4852,-0.0949,0
2024-04-25,000001,8.8158945,8.91664758,8.79910232,8.90825149,111381224,1176304524.86,0.574,0.7597,0
2024-04-26,000001,8.89145931,8.95862803,8.79910232,8.8998554,160762751,1698581436.96,0.8284,-0.0943,0
