date,code,open,high,low,close,volume,amount,turnover_rate,pct_chg,isST
2023-03-06,000568,223.82123898,228.226542,221.17628797,223.24624963,6508410,1643576961.86,0.4444,-0.8369,0
2023-03-07,000568,222.918948,223.07817582,218.2305733,218.8497926,5866549,1462033402.55,0.4006,-1.9693,0
2023-03-08,000568,217.611354,219.84054348,214.08180399,215.6652362,4749946,1161086961.65,0.3243,-1.4551,0
2023-03-09,000568,215.61216026,216.9036748,211.419161,214.93986502,4756441,1153802942.09,0.3248,-0.3363,0
2023-03-10,000568,213.32989484,216.2844555,209.7384229,210.51687002,4577525,1097570367.33,0.3126,-2.0578,0
2023-03-13,000568,210.75571175,219.77862155,210.534562,216.48791327,5592884,1367779410.13,0.3819,2.8364,0
2023-03-14,000568,216.41714535,216.43483733,209.05728167,212.7460595,4661381,1121860025.96,0.3183,-1.7284,0
2023-03-15,000568,217.2575144,217.31059034,209.36689132,209.54381112,4445057,1064635610.68,0.3035,-1.5052,0
2023-03-16,000568,208.765364,214.957557,206.05849106,209.63227102,5452615,1298977406.24,0.3723,0.0422,0
2023-03-17,000568,215.3998565,215.87753996,206.54502051,208.51767628,6587781,1565759172.0,0.4498,-0.5317,0
2023-03-20,000568,207.880765,207.880765,201.1578126,204.342369,6603761,1523405792.1,0.4509,-2.0024,0
2023-03-21,000568,205.226968,214.2498778,204.2539091,212.79028945,9535382,2265934257.78,0.6511,4.1342,0
2023-03-22,000568,212.34798995,218.4074931,212.34798995,213.97565211,6578756,1604520656.18,0.4492,0.5571,0
2023-03-23,000568,213.96680612,220.7074505,212.79028945,215.87753996,6741219,1654821120.91,0.4603,0.8888,0
2023-03-24,000568,214.957557,220.69860451,214.072958,217.30174435,5420078,1333681214.11,0.3701,0.6597,0
2023-03-27,000568,218.00942355,218.00942355,209.30496939,214.24103181,5661713,1369239671.92,0.3866,-1.4085,0
2023-03-28,000568,214.072958,221.63627945,214.072958,220.02630927,6380894,1581812226.22,0.4357,2.7004,0
2023-03-29,000568,222.918948,225.70543485,220.9728302,224.31661442,6944860,1758892346.17,0.4742,1.9499,0
2023-03-30,000568,224.31661442,229.96920203,222.2997287,226.93502746,6569127,1679910931.11,0.4486,1.1673,0
2023-03-31,000568,226.93502746,230.7034192,224.2458465,225.38697921,5445078,1397409704.89,0.3718,-0.6822,0
2023-04-03,000568,225.7496648,228.96075917,224.32546041,224.94467971,5583392,1428301319.0,0.3812,-0.1962,0
2023-04-04,000568,224.29007645,229.69497634,222.57395439,229.31459877,6833299,1751925320.57,0.4666,1.9427,0
2023-04-06,000568,228.226542,229.111141,219.4690119,221.18513396,6392120,1611933678.51,0.4365,-3.5451,0
2023-04-07,000568,219.380552,224.44045828,217.4344342,220.265151,5103385,1275060485.69,0.3485,-0.4159,0
2023-04-10,000568,217.62904598,219.66362368,202.84739669,218.9382525,12535893,3001171751.41,0.856,-0.6024,0
2023-04-11,000568,216.726755,217.16020851,210.3576422,211.41031501,9188248,2202877434.31,0.6274,-3.4384,0
2023-04-12,000568,211.419161,211.73761664,205.45696374,206.27964081,8177404,1916586687.66,0.5584,-2.4269,0
2023-04-13,000568,205.9346472,208.56190623,203.52853792,207.2615457,6488606,1513113606.74,0.4431,0.476,0
2023-04-14,000568,207.24385372,208.56190623,202.46701912,203.05970045,6264920,1448325218.61,0.4278,-2.0273,0
2023-04-17,000568,204.36006098,211.85261451,204.342369,206.48309858,8689856,2038268593.18,0.5934,1.6859,0
2023-04-18,000568,206.36810071,210.16303042,205.4923477,207.06693392,7195574,1689396114.38,0.4913,0.2828,0
2023-04-19,000568,206.9077061,207.4384655,203.15700634,205.30658191,4393229,1017954884.97,0.3,-0.8501,0
2023-04-20,000568,205.36850384,206.54502051,200.0962938,203.0154705,4693860,1078579016.78,0.3205,-1.1159,0
2023-04-21,000568,203.0154705,205.80195735,201.79472388,202.67932288,3953400,911175195.59,0.2699,-0.1656,0
2023-04-24,000568,201.688572,202.1308715,194.62062599,196.15982825,8091053,1803951235.37,0.5525,-3.2167,0
2023-04-25,000568,196.15982825,199.81322212,193.67410506,199.49476648,7862192,1753666180.77,0.5368,1.7001,0
2023-04-26,000568,198.42440169,201.44088428,195.9386785,199.57438039,5696182,1279909713.0,0.3889,0.0399,0
2023-04-27,000568,199.034775,202.46701912,195.5848389,199.51245846,6706405,1508154044.59,0.4579,-0.031,0
2023-04-28,000568,200.61820721,202.56432501,198.19440595,200.13167776,7625590,1728325423.04,0.5207,0.3104,0
2023-05-04,000568,205.73118943,206.996166,193.95717674,195.65560682,9033291,2032709259.13,0.6168,-2.2366,0
2023-05-05,000568,195.16023138,198.5924755,193.31141947,197.96441021,6651739,1477643558.56,0.4542,1.18,0
2023-05-08,000568,197.75210645,200.69782112,195.65560682,196.6463577,4683978,1043377302.14,0.3198,-0.6658,0
2023-05-09,000568,195.12484742,199.2116948,190.4541647,195.71752875,6180177,1365145672.45,0.422,-0.4723,0
2023-05-10,000568,195.39907311,195.39907311,190.92300217,192.63027824,4744833,1032698792.36,0.324,-1.5774,0
2023-05-11,000568,193.2848815,194.39947624,190.6310845,191.06453801,3716403,807294143.95,0.2538,-0.8128,0
2023-05-12,000568,190.9849241,192.9310419,188.84419452,189.14495818,4874049,1047753190.48,0.3328,-1.0047,0
2023-05-15,000568,188.5080469,191.49799152,187.7119078,190.96723212,4468608,958510327.33,0.3051,0.9634,0
2023-05-16,000568,191.957983,191.957983,187.42883612,188.419587,4887294,1041005581.15,0.3337,-1.3341,0
2023-05-17,000568,188.419587,189.25995605,184.881191,185.76579,4974390,1048624716.3,0.3397,-1.4085,0
2023-05-18,000568,185.04926481,186.5619291,182.6696935,183.43929463,5516631,1148456817.57,0.3767,-1.2524,0
2023-05-19,000568,182.95276518,189.51648976,180.71472971,188.55227685,7190120,1513798332.95,0.491,2.7873,0
2023-05-22,000568,188.0657474,201.688572,187.68536983,198.150176,12186341,2709666222.58,0.8321,5.0903,0
2023-05-23,000568,196.380978,200.1847537,194.1694805,195.2309993,5546543,1230920604.54,0.3787,-1.4732,0
2023-05-24,000568,194.72677787,197.25673101,192.5772023,192.59489428,4707597,1035666177.28,0.3214,-1.3502,0
2023-05-25,000568,190.8964642,193.62102912,188.72919665,191.6041434,4919075,1062789230.6,0.3359,-0.5144,0
2023-05-26,000568,192.4002825,195.496379,187.8003677,189.41918387,5402206,1162884917.73,0.3689,-1.1404,0
2023-05-29,000568,189.40149189,191.24145781,187.85344364,189.26880204,5530168,1184015235.14,0.3776,-0.0794,0
2023-05-30,000568,189.304186,190.96723212,183.996592,185.55348624,6234920,1313240328.55,0.4257,-1.963,0
2023-05-31,000568,183.43044864,184.87234501,178.61823008,180.48473397,9628029,1964195352.89,0.6574,-2.7317,0
2023-06-01,000568,181.32510302,189.47225981,180.85626555,183.58083047,8547942,1783304205.01,0.5837,1.7154,0
2023-06-02,000568,184.49196744,188.75573462,181.82932445,187.72959978,6080678,1281837040.63,0.4152,2.2599,0
2023-06-05,000568,186.650389,187.49960404,181.342795,182.89968924,6901918,1429169412.66,0.4713,-2.5728,0
2023-06-06,000568,183.42160265,189.18918813,181.21010515,184.87234501,7787865,1636679658.83,0.5318,1.0785,0
2023-06-07,000568,185.76579,187.51729602,181.35164099,181.59048272,5446652,1129517879.16,0.3719,-1.7752,0
2023-06-08,000568,181.33394901,183.89044012,179.21091141,182.4927737,5363111,1101042684.46,0.3662,0.4969,0
2023-06-09,000568,183.35083473,185.39425842,181.32510302,182.17431806,6444914,1332448864.2,0.4401,-0.1745,0
2023-06-12,000568,181.56394475,194.61178,181.44894688,192.1349028,10927202,2338615835.82,0.7461,5.4676,0
2023-06-13,000568,191.5156835,197.67249254,191.073384,195.4079191,6972364,1535348387.83,0.4761,1.7035,0
2023-06-14,000568,196.380978,204.51044281,196.380978,201.8654918,10802384,2465965283.67,0.7376,3.3047,0
2023-06-15,000568,202.1308715,206.08502903,200.803973,203.9000695,8681782,1997583816.66,0.5928,1.0079,0
