date,code,shares,cost_price,market_price,market_value
2023-10-31,000078,31800,3.0130099999999995,3.08,97944.0
2023-10-31,000422,9400,9.109099999999998,9.4,88360.0
2023-10-31,000603,6300,12.292279999999998,12.43,78309.0
2023-10-31,000612,19300,5.05505,5.14,99202.0
2023-10-31,000639,19500,4.504499999999999,4.55,88725.0
2023-10-31,000545,25700,3.0830799999999994,3.11,79927.0
2023-11-01,000663,11600,8.57857,8.7,100919.99999999999
2023-11-01,000017,23300,4.28428,4.32,100656.0
2023-11-01,000078,31800,3.0130099999999995,3.11,98898.0
2023-11-01,000422,9400,9.109099999999998,9.41,88454.0
2023-11-01,000603,6300,12.292279999999998,12.31,77553.0
2023-11-01,000612,19300,5.05505,5.16,99588.0
2023-11-01,000639,19500,4.504499999999999,4.54,88530.0
2023-11-01,000545,25700,3.0830799999999994,3.16,81212.0
2023-11-01,000021,5200,16.92691,16.23,84396.0
2023-11-01,000665,16600,4.84484,4.88,81008.0
2023-11-02,000612,19300,5.05505,5.1,98430.0
2023-11-02,000639,19500,4.504499999999999,4.42,86190.0
2023-11-02,000545,25700,3.0830799999999994,3.13,80441.0
2023-11-02,000665,16600,4.84484,4.94,82004.0
2023-11-02,000007,20300,4.924919999999999,5.15,104545.0
2023-11-02,000063,4000,24.87485,24.41,97640.0
2023-11-02,000533,23200,4.3043,4.25,98600.0
2023-11-02,000571,37400,2.6126099999999997,2.54,94996.0
2023-11-02,000636,5800,15.015,14.82,85956.0
2023-11-03,000665,16600,4.84484,4.99,82834.0
2023-11-03,000063,4000,24.87485,25.0,100000.0
2023-11-03,000533,23200,4.3043,4.26,98832.0
2023-11-03,000571,37400,2.6126099999999997,2.55,95370.0
2023-11-03,000636,5800,15.015,15.21,88218.0
2023-11-03,000032,5400,18.27826,18.77,101358.0
2023-11-03,000007,19500,5.12512,5.18,101010.0
2023-11-03,000510,19000,5.065059999999999,5.04,95760.0
2023-11-03,000065,7900,10.9109,10.96,86584.0
2023-11-03,000403,4400,17.717699999999997,17.82,78408.0
2023-11-06,000063,4000,24.87485,25.76,103040.0
2023-11-06,000533,23200,4.3043,4.28,99296.0
2023-11-06,000636,5800,15.015,15.64,90712.0
2023-11-06,000007,19500,5.12512,5.16,100620.0
2023-11-06,000510,19000,5.065059999999999,5.17,98230.0
2023-11-06,000065,7900,10.9109,11.28,89112.0
2023-11-06,000403,4400,17.717699999999997,17.69,77836.0
2023-11-06,000571,38100,2.5825799999999997,2.57,97917.0
2023-11-06,000032,4600,18.968949999999996,19.35,89010.0
2023-11-06,000400,4700,16.86685,17.43,81921.0
2023-11-07,000007,19500,5.12512,5.13,100035.0
2023-11-07,000510,19000,5.065059999999999,5.2,98800.0
2023-11-07,000065,7900,10.9109,11.13,87927.0
2023-11-07,000403,4400,17.717699999999997,17.78,78232.0
2023-11-07,000571,38100,2.5825799999999997,2.61,99441.0
2023-11-07,000032,4600,18.968949999999996,19.75,90850.0
2023-11-07,000400,4700,16.86685,17.52,82344.0
2023-11-07,000039,15000,6.65665,6.78,101700.0
2023-11-07,000665,17600,5.185179999999999,5.27,92751.99999999999
2023-11-07,000069,22100,3.72372,3.74,82654.0
2023-11-08,000039,15000,6.65665,6.81,102150.0
2023-11-08,000665,17600,5.185179999999999,5.37,94512.0
2023-11-08,000069,22100,3.72372,3.76,83096.0
2023-11-08,000543,18000,5.555549999999999,5.64,101520.0
2023-11-08,000007,19400,5.135129999999999,5.1,98940.0
2023-11-08,000408,5200,19.008989999999997,18.94,98488.0
2023-11-08,000620,62400,1.6016,1.63,101712.0
2023-11-08,000407,27300,3.6036,3.57,97461.0
2023-11-09,000039,15000,6.65665,6.81,102150.0
2023-11-09,000665,17600,5.185179999999999,5.23,92048.00000000001
2023-11-09,000069,22100,3.72372,3.76,83096.0
2023-11-09,000543,18000,5.555549999999999,5.71,102780.0
2023-11-09,000007,19400,5.135129999999999,5.07,98358.0
2023-11-09,000408,5200,19.008989999999997,19.17,99684.00000000001
2023-11-09,000407,27300,3.6036,3.55,96915.0
2023-11-09,000633,12600,7.827819999999999,7.78,98028.0
2023-11-09,000620,53400,1.6716699999999998,1.65,88110.0
2023-11-09,000002,6600,12.112099999999998,11.96,78936.0
2023-11-10,000007,19400,5.135129999999999,5.0,97000.0
2023-11-10,000408,5200,19.008989999999997,19.73,102596.0
2023-11-10,000407,27300,3.6036,3.61,98553.0
2023-11-10,000633,12600,7.827819999999999,7.74,97524.0
2023-11-10,000620,53400,1.6716699999999998,1.71,91314.0
2023-11-10,000403,5600,17.57756,17.98,100688.0
2023-11-10,000029,8400,11.801789999999999,11.89,99876.0
2023-11-10,000039,14400,6.8168099999999985,6.8,97920.0
2023-11-10,000571,33400,2.6526499999999995,2.69,89846.0
2023-11-10,000564,64200,1.24124,1.25,80250.0
2023-11-13,000633,12600,7.827819999999999,7.65,96390.0
2023-11-13,000620,53400,1.6716699999999998,1.7,90780.0
2023-11-13,000403,5600,17.57756,17.91,100296.0
2023-11-13,000029,8400,11.801789999999999,11.82,99288.0
2023-11-13,000039,14400,6.8168099999999985,6.89,99216.0
2023-11-13,000408,5000,19.74973,20.46,102300.0
2023-11-13,000572,19500,5.105099999999999,5.4,105300.0
2023-11-13,000564,78900,1.2612599999999998,1.31,103359.0
2023-11-13,000665,17400,5.135129999999999,5.21,90654.0
2023-11-13,000571,30000,2.68268,2.81,84300.0
2023-11-14,000403,5600,17.57756,17.92,100352.00000000001
2023-11-14,000029,8400,11.801789999999999,12.15,102060.0
2023-11-14,000039,14400,6.8168099999999985,7.05,101520.0
2023-11-14,000665,17400,5.135129999999999,5.32,92568.0
2023-11-14,000408,4800,20.46044,20.58,98783.99999999999
2023-11-14,000564,75600,1.3213199999999998,1.38,104327.99999999999
2023-11-14,000547,11300,8.8088,9.12,103055.99999999999
2023-11-14,000555,7900,12.65264,12.67,100093.0
2023-11-14,000663,10100,8.99899,9.02,91102.0
2023-11-15,000555,7900,12.65264,12.79,101041.0
2023-11-15,000663,10100,8.99899,9.3,93930.0
2023-11-15,000408,4700,21.041019999999996,20.94,98418.0
2023-11-15,000039,14000,7.1071,7.22,101080.0
2023-11-15,000564,69800,1.4314299999999998,1.33,92834.0
2023-11-15,000534,7400,13.453439999999999,13.74,101676.0
2023-11-15,000403,5500,18.038019999999996,17.85,98175.00000000001
2023-11-16,000555,7900,12.65264,12.73,100567.0
2023-11-16,000663,10100,8.99899,9.02,91102.0
2023-11-16,000408,4700,21.041019999999996,21.11,99217.0
2023-11-16,000039,14000,7.1071,7.18,100520.0
2023-11-16,000534,7400,13.453439999999999,13.64,100936.0
2023-11-16,000403,5500,18.038019999999996,18.69,102795.0
2023-11-16,000338,7600,13.07306,13.0,98800.0
2023-11-16,000639,22000,4.54454,4.54,99880.0
2023-11-16,000036,23100,4.03403,4.09,94479.0
2023-11-16,000612,16100,5.2052,5.19,83559.0
2023-11-17,000408,4700,21.041019999999996,21.14,99358.0
2023-11-17,000039,14000,7.1071,7.34,102760.0
2023-11-17,000534,7400,13.453439999999999,13.93,103082.0
2023-11-17,000338,7600,13.07306,13.21,100396.0
2023-11-17,000639,22000,4.54454,4.52,99439.99999999999
2023-11-17,000036,23100,4.03403,4.09,94479.0
2023-11-17,000612,16100,5.2052,5.2,83720.0
2023-11-17,000564,71300,1.4013999999999998,1.47,104811.0
2023-11-17,000032,4600,20.600579999999997,20.68,95128.0
2023-11-17,000029,6900,12.282269999999999,12.43,85767.0
2023-11-20,000338,7600,13.07306,13.41,101916.0
2023-11-20,000639,22000,4.54454,4.51,99220.0
2023-11-20,000036,23100,4.03403,4.08,94248.0
2023-11-20,000612,16100,5.2052,5.19,83559.0
2023-11-20,000032,4600,20.600579999999997,21.15,97290.0
2023-11-20,000029,6900,12.282269999999999,12.27,84663.0
2023-11-20,000058,12900,7.727719999999999,7.77,100233.0
2023-11-20,000533,22100,4.524519999999999,4.56,100775.99999999999
2023-11-20,000419,18200,5.38538,5.37,97734.0
2023-11-20,000566,18400,4.79479,4.87,89608.0
2023-11-21,000032,4600,20.600579999999997,20.64,94944.0
2023-11-21,000029,6900,12.282269999999999,12.48,86112.0
2023-11-21,000533,22100,4.524519999999999,4.47,98787.0
2023-11-21,000419,18200,5.38538,5.42,98644.0
2023-11-21,000566,18400,4.79479,4.86,89424.0
2023-11-21,000417,21300,4.69469,4.9,104370.00000000001
2023-11-21,000428,24100,4.144139999999999,4.17,100497.0
2023-11-21,000610,7000,14.124109999999998,14.09,98630.0
2023-11-21,000551,11400,8.56856,8.73,99522.0
2023-11-21,000543,15300,5.76576,5.72,87516.0
2023-11-22,000533,22100,4.524519999999999,4.45,98345.0
2023-11-22,000419,18200,5.38538,5.49,99918.0
2023-11-22,000566,18400,4.79479,4.84,89056.0
2023-11-22,000428,24100,4.144139999999999,4.19,100979.00000000001
2023-11-22,000610,7000,14.124109999999998,14.23,99610.0
2023-11-22,000551,11400,8.56856,8.71,99294.00000000001
2023-11-22,000543,15300,5.76576,5.71,87363.0
2023-11-22,000048,5700,17.40739,17.92,102144.00000000001
2023-11-22,000029,7800,12.542529999999998,13.58,105924.0
2023-11-22,000639,20200,4.4044,4.41,89082.0
2023-11-23,000428,24100,4.144139999999999,4.19,100979.00000000001
2023-11-23,000610,7000,14.124109999999998,14.14,98980.0
2023-11-23,000551,11400,8.56856,8.8,100320.00000000001
2023-11-23,000543,15300,5.76576,5.78,88434.0
2023-11-23,000048,5700,17.40739,17.76,101232.00000000001
2023-11-23,000639,20200,4.4044,4.44,89688.00000000001
2023-11-23,000061,15100,6.596589999999999,6.57,99207.0
2023-11-23,000006,18800,5.305299999999999,5.05,94940.0
2023-11-23,000501,11800,8.358349999999998,8.3,97940.00000000001
2023-11-23,000411,7800,11.3113,11.49,89622.0
2023-11-24,000048,5700,17.40739,18.21,103797.0
2023-11-24,000061,15100,6.596589999999999,6.61,99811.0
2023-11-24,000501,11800,8.358349999999998,8.31,98058.0
2023-11-24,000411,7800,11.3113,11.55,90090.0
2023-11-24,000419,18100,5.515509999999999,5.68,102808.0
2023-11-24,000069,26500,3.7637599999999996,3.72,98580.0
2023-11-24,000002,8100,12.202189999999998,12.12,98172.0
2023-11-24,000338,7300,13.543529999999999,13.51,98623.0
2023-11-24,000078,30700,3.2032,3.25,99775.0
2023-11-27,000061,15100,6.596589999999999,6.65,100415.0
2023-11-27,000501,11800,8.358349999999998,8.21,96878.00000000001
2023-11-27,000411,7800,11.3113,11.35,88530.0
2023-11-27,000419,18100,5.515509999999999,5.49,99369.0
2023-11-27,000338,7300,13.543529999999999,13.62,99426.0
2023-11-27,000078,30700,3.2032,3.17,97319.0
2023-11-27,000048,5400,18.23822,17.85,96390.00000000001
2023-11-27,000400,5300,18.588569999999997,19.02,100806.0
2023-11-27,000566,19700,4.98498,4.9,96530.0
2023-11-27,000543,15100,5.86586,6.13,92563.0
2023-11-28,000419,18100,5.515509999999999,5.52,99911.99999999999
2023-11-28,000338,7300,13.543529999999999,13.9,101470.0
2023-11-28,000078,30700,3.2032,3.18,97626.0
2023-11-28,000400,5300,18.588569999999997,18.88,100064.0
2023-11-28,000599,21200,4.7047,4.68,99216.0
2023-11-28,000048,5600,17.79778,17.62,98672.0
2023-11-28,000533,22200,4.504499999999999,4.55,101010.0
2023-11-28,000426,11000,9.039029999999999,9.0,99000.0
2023-11-28,000408,4700,20.43041,20.61,96867.0
2023-11-29,000599,21200,4.7047,4.66,98792.0
2023-11-29,000048,5600,17.79778,17.53,98168.0
2023-11-29,000533,22200,4.504499999999999,4.55,101010.0
2023-11-29,000426,11000,9.039029999999999,9.01,99110.0
2023-11-29,000408,4700,20.43041,20.43,96021.0
2023-11-29,000639,20800,4.78478,4.83,100464.0
2023-11-29,000049,3600,27.597569999999997,28.13,101268.0
2023-11-29,000020,7600,13.023009999999998,13.04,99104.0
2023-11-29,000532,8500,11.361349999999998,11.35,96475.0
2023-11-29,000338,6300,13.883869999999998,13.72,86436.0
2023-11-30,000048,5600,17.79778,17.63,98728.0
2023-11-30,000533,22200,4.504499999999999,4.51,100122.0
2023-11-30,000408,4700,20.43041,20.37,95739.0
2023-11-30,000639,20800,4.78478,4.86,101088.0
2023-11-30,000049,3600,27.597569999999997,27.597569999999997,99351.252
2023-11-30,000020,7600,13.023009999999998,12.82,97432.0
2023-11-30,000532,8500,11.361349999999998,11.2,95200.0
2023-11-30,000338,6300,13.883869999999998,13.53,85239.0
2023-11-30,000543,16000,6.11611,6.16,98560.0
2023-11-30,000069,25500,3.463459999999999,3.45,87975.0
2023-12-01,000639,20800,4.78478,4.81,100047.99999999999
2023-12-01,000049,3600,27.597569999999997,27.597569999999997,99351.252
2023-12-01,000543,16000,6.11611,6.11,97760.0
2023-12-01,000069,25500,3.463459999999999,3.46,88230.0
2023-12-01,000155,8700,11.371359999999997,11.32,98484.0
2023-12-01,000547,11100,8.92892,9.03,100233.0
2023-12-01,000048,5600,17.757739999999995,17.61,98616.0
2023-12-01,000070,11300,8.84884,9.09,102717.0
2023-12-01,000524,11000,8.828819999999999,8.68,95480.0
2023-12-04,000049,3600,27.597569999999997,27.597569999999997,99351.252
2023-12-04,000543,16000,6.11611,6.14,98240.0
2023-12-04,000155,8700,11.371359999999997,11.41,99267.0
2023-12-04,000547,11100,8.92892,9.03,100233.0
2023-12-04,000048,5600,17.757739999999995,18.51,103656.00000000001
2023-12-04,000070,11300,8.84884,9.02,101926.0
2023-12-04,000524,11000,8.828819999999999,8.75,96250.0
2023-12-04,000546,13400,7.417409999999999,7.54,101036.0
2023-12-04,000408,4700,20.380359999999996,20.51,96397.00000000001
2023-12-04,000603,6700,12.872859999999998,12.84,86028.0
2023-12-05,000049,3600,27.597569999999997,27.597569999999997,99351.252
2023-12-05,000547,11100,8.92892,8.85,98235.0
2023-12-05,000070,11300,8.84884,8.76,98988.0
2023-12-05,000524,11000,8.828819999999999,8.63,94930.00000000001
2023-12-05,000408,4700,20.380359999999996,20.05,94235.0
2023-12-05,000603,6700,12.872859999999998,12.6,84420.0
2023-12-05,000069,29800,3.3533500000000003,3.29,98042.0
2023-12-05,000419,17600,5.66566,5.73,100848.00000000001
2023-12-05,000520,31800,3.1131099999999994,3.05,96990.0
2023-12-05,000510,16100,5.53553,5.52,88872.0
2023-12-06,000049,3600,27.597569999999997,27.597569999999997,99351.252
2023-12-06,000408,4700,20.380359999999996,20.39,95833.0
2023-12-06,000069,29800,3.3533500000000003,3.33,99234.0
2023-12-06,000510,16100,5.53553,5.63,90643.0
2023-12-06,000002,9200,10.800789999999997,10.85,99820.0
2023-12-06,000425,20200,4.93493,4.94,99788.00000000001
2023-12-06,000419,17500,5.69569,5.85,102375.0
2023-12-06,000048,5400,18.42841,18.84,101736.0
2023-12-06,000543,15900,6.13613,6.13,97467.0
2023-12-07,000049,3600,27.597569999999997,27.597569999999997,99351.252
2023-12-07,000069,29800,3.3533500000000003,3.35,99830.0
2023-12-07,000510,16100,5.53553,5.48,88228.0
2023-12-07,000002,9200,10.800789999999997,10.9,100280.0
2023-12-07,000425,20200,4.93493,4.94,99788.00000000001
2023-12-07,000419,17500,5.69569,5.72,100100.0
2023-12-07,000048,5400,18.42841,18.82,101628.0
2023-12-07,000543,15900,6.13613,6.23,99057.0
2023-12-07,000501,11200,8.66866,8.54,95647.99999999999
2023-12-07,000063,3600,23.86384,23.87,85932.0
2023-12-08,000002,9200,10.800789999999997,10.78,99176.0
2023-12-08,000425,20200,4.93493,4.99,100798.0
2023-12-08,000048,5400,18.42841,18.43,99522.0
2023-12-08,000543,15900,6.13613,6.28,99852.0
2023-12-08,000501,11200,8.66866,8.46,94752.00000000001
2023-12-08,000006,20800,4.804799999999999,4.71,97968.0
2023-12-08,000338,7900,12.642629999999999,12.55,99145.0
2023-12-08,000063,4100,23.8238,24.8,101680.0
2023-12-08,000532,8400,11.43142,11.71,98364.0
2023-12-08,000070,9700,8.9089,9.17,88949.0
2023-12-11,000338,7900,12.642629999999999,12.6,99540.0
2023-12-11,000532,8400,11.43142,11.78,98952.0
2023-12-11,000070,9700,8.9089,9.12,88463.99999999999
2023-12-11,000534,8000,12.452439999999998,12.5,100000.0
2023-12-11,000048,5400,18.43842,18.63,100602.0
2023-12-11,000035,19900,5.015009999999999,5.04,100296.0
2023-12-11,000069,30500,3.2732699999999997,3.25,99125.0
2023-12-11,000020,8100,12.33232,12.5,101250.0
2023-12-12,000338,7900,12.642629999999999,12.69,100251.0
2023-12-12,000532,8400,11.43142,11.83,99372.0
2023-12-12,000070,9700,8.9089,9.15,88755.0
2023-12-12,000534,8000,12.452439999999998,12.7,101600.0
2023-12-12,000048,5400,18.43842,19.19,103626.0
2023-12-12,000035,19900,5.015009999999999,5.02,99897.99999999999
2023-12-12,000069,30500,3.2732699999999997,3.33,101565.0
2023-12-12,000020,8100,12.33232,12.56,101736.0
2023-12-12,000633,13700,7.0870799999999985,7.12,97544.0
2023-12-12,000528,14600,5.966363793389999,6.02488998,87963.393708
2023-12-13,000534,8000,12.452439999999998,12.73,101840.0
2023-12-13,000048,5400,18.43842,18.86,101844.0
2023-12-13,000035,19900,5.015009999999999,4.94,98306.00000000001
2023-12-13,000069,30500,3.2732699999999997,3.22,98210.0
2023-12-13,000020,8100,12.33232,12.72,103032.0
2023-12-13,000633,13700,7.0870799999999985,7.14,97818.0
2023-12-13,000528,14600,5.966363793389999,6.04331472,88232.39491199999
2023-12-13,000620,58400,1.7117099999999998,1.71,99864.0
2023-12-13,000632,19800,4.9049,4.89,96822.0
2023-12-13,000058,11800,7.377369999999999,7.31,86258.0
2023-12-14,000633,13700,7.0870799999999985,7.15,97955.0
2023-12-14,000528,14600,5.966363793389999,6.0801642,88770.39731999999
2023-12-14,000620,58400,1.7117099999999998,1.75,102200.0
2023-12-14,000632,19800,4.9049,4.98,98604.00000000001
2023-12-14,000058,11800,7.377369999999999,7.39,87202.0
2023-12-14,000564,66100,1.51151,1.54,101794.0
2023-12-14,000610,7200,13.783769999999999,14.24,102528.0
2023-12-14,000400,4900,20.270249999999997,20.19,98931.0
2023-12-14,000603,7900,12.5125,12.17,96143.0
2023-12-14,000665,16200,5.495489999999999,5.54,89748.0
2023-12-15,000632,19800,4.9049,5.02,99395.99999999999
2023-12-15,000058,11800,7.377369999999999,7.28,85904.0
2023-12-15,000564,66100,1.51151,1.53,101133.0
2023-12-15,000400,4900,20.270249999999997,20.08,98391.99999999999
2023-12-15,000665,16200,5.495489999999999,5.57,90234.0
2023-12-15,000659,39600,2.5225199999999997,2.49,98604.00000000001
2023-12-15,000620,56400,1.7717699999999998,1.84,103776.0
2023-12-15,000006,20200,4.93493,4.87,98374.0
2023-12-15,000017,22200,4.48448,4.44,98568.00000000001
2023-12-15,000048,4800,18.6186,18.45,88560.0
2023-12-18,000665,16200,5.495489999999999,5.42,87804.0
2023-12-18,000620,56400,1.7717699999999998,1.75,98700.0
2023-12-18,000017,22200,4.48448,4.39,97458.0
2023-12-18,000048,4800,18.6186,18.66,89568.0
2023-12-18,000524,9100,10.900889999999999,9.56,86996.0
2023-12-18,000425,21000,4.744739999999999,4.67,98070.0
2023-12-18,000543,16100,6.2062,6.12,98532.0
2023-12-18,000100,27000,3.6936899999999997,3.66,98820.0
2023-12-18,000408,4800,20.350329999999996,20.47,98256.0
2023-12-19,000017,22200,4.48448,4.39,97458.0
2023-12-19,000048,4800,18.6186,18.4,88320.0
2023-12-19,000425,21000,4.744739999999999,4.68,98280.0
2023-12-19,000100,27000,3.6936899999999997,3.69,99630.0
2023-12-19,000408,4800,20.350329999999996,20.74,99551.99999999999
2023-12-19,000422,12200,8.17817,8.12,99063.99999999999
2023-12-19,000049,4100,24.324299999999997,24.55,100655.0
2023-12-19,000035,21000,4.75475,4.63,97230.0
2023-12-19,000069,30100,3.1731699999999994,3.14,94514.0
2023-12-19,000659,35200,2.4424399999999995,2.42,85184.0
2023-12-20,000425,21000,4.744739999999999,4.61,96810.0
2023-12-20,000100,27000,3.6936899999999997,3.69,99630.0
2023-12-20,000408,4800,20.350329999999996,20.6,98880.0
2023-12-20,000422,12200,8.17817,8.09,98698.0
2023-12-20,000049,4100,24.324299999999997,24.28,99548.0
2023-12-20,000659,35200,2.4424399999999995,2.4,84480.0
2023-12-20,000571,33500,2.9829799999999995,3.14,105190.0
2023-12-20,000035,21500,4.63463,4.64,99760.0
2023-12-20,000338,7700,12.222209999999999,12.03,92631.0
2023-12-20,000536,25100,3.3933899999999997,3.4,85340.0
2023-12-21,000422,12200,8.17817,8.14,99308.0
2023-12-21,000049,4100,24.324299999999997,24.65,101065.0
2023-12-21,000035,21500,4.63463,4.7,101050.0
2023-12-21,000338,7700,12.222209999999999,12.09,93093.0
2023-12-21,000069,32900,3.0330299999999997,3.1,101990.0
2023-12-21,000425,21700,4.604599999999999,4.67,101339.0
2023-12-21,000657,12500,7.9579499999999985,8.04,100499.99999999999
2023-12-21,000070,12300,8.078069999999999,8.13,99999.00000000001
2023-12-21,000659,38800,2.4023999999999996,2.45,95060.0
2023-12-22,000035,21500,4.63463,4.62,99330.0
2023-12-22,000338,7700,12.222209999999999,12.1,93170.0
2023-12-22,000069,32900,3.0330299999999997,3.05,100345.0
2023-12-22,000425,21700,4.604599999999999,4.71,102207.0
2023-12-22,000657,12500,7.9579499999999985,8.18,102250.0
2023-12-22,000659,38800,2.4023999999999996,2.4,93120.0
