code,latest_date,latest_close,trade_days_60,avg_amount_20,avg_amount_60,avg_turnover_20,avg_amplitude_20,volatility_20,max_drawdown_20,zero_volume_days_60,is_st,universe_pass,universe_score
000551,2025-12-31,14.7,60,576631449.2570001,243759782.85933337,8.178999999999998,0.04932247481254977,0.05374215433660076,-0.1661756040070712,0,False,True,8.343428354212271
000036,2025-12-31,6.6,60,595551989.2435,351412703.8548333,7.036499999999999,0.05892263910898002,0.05497839902648239,-0.15492957746478875,0,False,True,8.205808335839588
000426,2025-12-31,35.6,60,2309154139.32,2308095210.1188335,3.678,0.046690612598440324,0.032384946585494845,-0.07468996617812851,0,False,True,8.173996840754496
000559,2025-12-31,17.0,60,1855500486.977,2105597024.6403334,4.117,0.0518025836952041,0.042817548853748263,-0.12828685258964156,0,False,True,8.163031628679859
000603,2025-12-31,30.84,60,1029265498.3525,807435326.4985,5.108499999999999,0.05904537061097872,0.03840109257266528,-0.07386363636363635,0,False,True,8.12912600789502
000633,2025-12-31,7.21,60,258999648.12149996,263901753.13500002,8.258,0.04469668687816428,0.037533670282707605,-0.2242888402625821,0,False,True,8.083842672063904
000620,2025-12-31,2.68,60,734130556.697,1097156183.2773335,5.4982099999999985,0.057725958786278564,0.03663496110587999,-0.14102564102564097,0,False,True,8.06822180038251
000663,2025-12-31,7.38,60,207020267.2025,254219730.73549998,8.2555,0.054335981327358375,0.034973902972389836,-0.196078431372549,0,False,True,8.03236211576325
000561,2025-12-31,12.22,60,453689942.4790001,304674921.51116663,6.4015,0.04404774896200038,0.021474262107378347,-0.052497883149873026,0,False,True,8.020025147355806
000593,2025-12-31,11.2,60,289975964.415,353258719.15550005,7.011999999999999,0.04759888472896854,0.0353977125553345,-0.22923076923076924,0,False,True,7.946408080999076
000532,2025-12-31,16.12,60,348301710.77349997,159794169.28000006,6.385,0.04374039161056729,0.028976910947195848,-0.038804071246819394,0,False,True,7.914882717834286
000609,2025-12-31,8.9,60,205760655.18900004,148186910.73133332,7.221500000000001,0.05362402037138283,0.03718018915242207,-0.21894548704200179,0,False,True,7.870588280325517
000534,2025-12-31,22.0,60,525455184.071,435208918.7315,4.611000000000001,0.06402902548939608,0.04540179263954102,-0.11569579288025889,0,False,True,7.822891735357221
000523,2025-12-31,3.77,60,296820972.9695,165584879.8395,6.019,0.05617104241869987,0.047893226054298355,-0.11080332409972293,0,False,True,7.811434980299722
000017,2025-12-31,7.87,60,224747867.42099994,230318341.3565,6.292499999999999,0.04426241237094519,0.034293634250201745,-0.10431654676258995,0,False,True,7.742335399581606
000411,2025-12-31,12.75,60,245191638.39399996,140092541.86383334,5.94,0.04677522124897075,0.041152111643858964,-0.09384858044164035,0,False,True,7.717640646092524
000659,2025-12-31,4.06,60,229305242.61099997,149309280.04316667,5.0605,0.05299345048954662,0.038641414186265224,-0.07507507507507505,0,False,True,7.5809544739067025
000506,2025-12-31,13.06,60,396169407.497,535966399.83783334,3.242,0.04588212816698479,0.028645858113041583,-0.060431654676258995,0,False,True,7.494271364716919
000048,2025-12-31,17.6,60,250496211.26700002,275869912.6438333,3.249,0.04054397053982123,0.03098508497616162,-0.05078416728902169,0,False,True,7.31861259531884
